COD_AUTOR,HOMONIMO,FORMATO,NOME,RESUMOS
21046,,Neves AA,Aline de Almeida Neves,"AO0062, AO0174, PI0038, PI0293, PI0339, PI0352, PI0415, PI0646, PI0799, PN0383, PN1566"
28868,,Trombini AL,Aline de Lucca Trombini,PI0687
27699,,Baia AO,Aline de Oliveira Baia,PI0823
3629,,Ogliari AO,Aline de Oliveira Ogliari,"HA013, PN1045, PN1051, PN1136"
29753,,Paiva AS,Aline de Sousa Paiva,PI0454
28085,,Soares ASLS,Aline de Souza Lage Santoro Soares,AO0038
28883,,Bastos AC,Aline do Carmo Bastos,PN1031
24671,,Letieri AS,Aline dos Santos Letieri,"PI0293, PN0383, PN1331"
22171,,Bertelli AE,Aline Estades Bertelli,PN1007
1576,,Souza-Gabriel AE,Aline Evangelista Souza-Gabriel,"PN0166, PN0736, PN0820, PN1140"
29207,,Vaz AFC,Aline Fernanda Costa Vaz,PN0630
26183,,Godoy A,Aline Godoy,PN0352
15727,,Sobreiro AGC,Aline Graziela Cidral Sobreiro,PI0662
24399,,Soares AL,aline laignier soares,"PN1688, PN1702"
24521,,Farias AL,Aline Leite de Farias,PI0350
4660,,Lima AL,Aline Lins de Lima,PN0506
24225,,Lemes AL,Aline Louise Lemes,"PN0403, PN1618"
12411,,Moraes AP,aline pinheiro de moraes,PN0410
14061,,Sá ARF,ALINE REGINA FALCÃO DE SÁ,PN0650
21775,,Kuchler AR,ALINE REGINA KUCHLER,PN0764
1552,,Rojas ARP,Aline Roberta Pereira Rojas,PN0853
182,,Castilho ARF,Aline Rogéria Freire de Castilho,PN1691
29364,,Jorge ASF,Aline Sanchas Ferreira Jorge,PI0634
5700,,Takamiya AS,Aline Satie Takamiya,PN0857
27329,,Barcellos ASP,ALINE SERRADO DE PINHO BARCELLOS,PN0195
19233,,Andrade AS,Aline Silva Andrade,PN1568
29580,,Firmino AS,Aline Silva Firmino,PN1052
21269,,Menezes ASS,Aline Silveira dos Santos Menezes,"PI0195, PN0391"
24069,,Posch AT,Aline Tany Posch,"PI0318, PI0618, PI0625, PI0777, PN1174"
27944,,Demetrio ATW,Aline Tiemi Watanabe Demetrio,PN0264
29615,,Oliveira AV,Aline Vasconcelos de Oliveira,PN1844
23097,,Barbosa AS,Alinne Sousa Barbosa,PN1626
9450,,Kirchhoff AL,Alison Luís Kirchhoff,HA003
28523,H2,Silva AC,Alisson Costa e Silva,"PI0113, PI0116, PN0446"
19609,,Vechiato-Filho AJ,Aljomar José Vechiato Filho,"PI0169, PN0206"
20120,,Albuquerque AJR,Allan de Jesus dos Reis Albuquerque,"PI0655, PN0739"
10703,,Giovanini AF,Allan Fernando Giovanini,"AO0131, AO0155, PE006, PI0462, PI0662, PN0314, PN0624, PN0627, PN0640, PN0946, PN1344, PN1848"
28820,,Nagata AG,Allan Gustavo Nagata,PI0143
24876,,Silva AS,Allana da Silva e Silva,PN1628
25902,H2,Freire A,Allana Freire,PN0825
21370,,Pivovar A,Allana Pivovar,"PE007, PE010, PI0667, PI0671, PI0685"
12762,,Fernandes ABN,Alline Birra Nolasco Fernandes,PN0587
29016,,Oliveira AJ,Alline Jesuino de Oliveira,PN1327
2022,,Bastos AS,Alliny de Souza Bastos,"AO0033, PI0686, PN1467, PN1783"
15485,,Martins AFL,Allisson Filipe Lopes Martins,"PI0379, PI0677, PN0560, PN1732, PN1746, PN1759"
4412,,Moreira AN,Allyson Nogueira Moreira,"PN0387, PN0798, PN0802, PN1758"
3703,,Catirse ABCEB,Alma Blásida Concepción Elizaur Benitez Catirse,"PI0560, PI0572, PI0860, PI0867, PN0843"
28311,,Spinelli A,Almir Spinelli,PN0299
1171,,Spazzin AO,ALOÍSIO ORO SPAZZIN,"PN0225, PN0849, PN1839"
21347,,Kantarci A,Alpdogan Kantarci,PN1487
1409,,Cury AAB,Altair Antoninha Del Bel Cury,"FC006, AO0096, AO0102, AO0134, AO0138, AO0149, AO0196, AO0210, PI0175, PI0780, PN0398, PN0513, PN1156, PN1532, COL002"
11177,,Moura AS,Altair Soares de Moura,PN0110
21163,,Junqueira-Júnior AA,Alvaro Augusto Junqueira-Júnior,PN1756
3365,,Mendes AM,Alvaro de Moraes Mendes,"PN0681, PN1402"
1762,,Della-Bona A,ALVARO DELLA-BONA,"PN0451, PN0986"
3901,,Bosco AF,ALVARO FRANCISCO BOSCO,PN1545
354,,Borges AH,Álvaro Henrique Borges,"AO0024, AO0025, AO0026, AO0160, PI0033, PI0187, PI0263, PI0279, PI0295, PI0315, PI0344, PI0354, PI0375, PI0457, PI0493, PI0494, PI0538, PI0545, PI0571, PI0588, PI0598, PI0611, PI0636, PI0642, PI0654, PI0659, PI0680, PI0707, PI0788, PI0813, PI0823, PI0826, PI0832, PI0843, PN0174, PN0175, PN0413, PN0811, PN1270, PN1275, PN1288, PN1316, PN1321, PN1575, PN1831"
28666,H2,Clavery AAJ,ALYNE ABDALLA JORGENSEN CLAVERY,PN1850
28187,,Pedroso AD,Alyne Dayane Pedroso,PN0213
25178,,Pereira AS,Alyne Silveira Pereira,PI0858
24984,,Ferreira AVP,Alysson Vinicius Porto Ferreira,"PI0397, PI0845"
29448,,Oliveira-Filho AM,ALZERINO MENDES DE OLIVEIRA FILHO,PN1524
16385,,Bielemann AM,Amália Machado Bielemann,"AO0138, AO0149, AO0210"
2194,,Moreno A,Amália Moreno,"PI0018, PI0020"
27693,,Vogt AP,Amalie Perez Vogt,PN0118
29361,,Candemil A P,Amanda  Pelegrin Candemil,PN1727
28010,H1,Clavery AAJ,Amanda Abdalla Jorgensen Clavery,PN0517
28684,,Menezes AAO,Amanda Alcântara de Oliveira Menezes,"PI0392, PI0842"
24401,,Almeida AB,Amanda Bandeira de Almeida,PN1790
23786,,Heck ABS,Amanda Baptista S Heck,PI0862
24935,,Ramos AB,Amanda Barreto Ramos,PI0570
798,,Freitas ABDA,Amanda Beatriz Dahdah Aniceto Freitas,PI0407
12251,,Cunha AC,Amanda Carneiro da Cunha,"PI0302, PI0606, PI0613, PN0993, PN1405"
