SIGLA,DIA,HORA,LOCAL
PE001,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE002,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE003,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE004,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE005,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE006,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE007,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE008,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE009,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE010,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE011,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE012,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE013,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE014,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE015,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE016,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE017,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE018,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE019,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE020,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE021,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE022,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PE023,9/4/2015,8:00 - 11:30 h / 13:30 - 17:00 h,Foyer 3
PI0001,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0002,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0003,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0004,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0005,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0006,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0007,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0008,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0009,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0010,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0011,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0012,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0013,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0014,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0015,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0016,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0017,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0018,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0019,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0020,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0021,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0022,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0023,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0024,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0025,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0026,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0027,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0028,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0029,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0030,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0031,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0032,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0033,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0034,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0035,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0036,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0037,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0038,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0039,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0040,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0041,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0042,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0043,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0044,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0045,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0046,9/4/2015,8:00 - 11:30 h,Foyer 2
PI0047,9/4/2015,8:00 - 11:30 h,Foyer 2
